# Image	Size(bytes)	Filename	Source URL
001	4618	signatur hvit.png	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576432149185-XJGNDGAVJB25M3ZV4790/signatur+hvit.png
002	3410166	Kontemplasjon - redigert_web.png	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/39556eb8-4462-433c-a002-e78a762d3ae2/Kontemplasjon+-+redigert_web.png
003	4101760	Noctürne - redigert_web.png	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/05c81eda-591b-46c8-a565-ecf0a61dc931/Noct%C3%BCrne+-+redigert_web.png
004	5552678	Destinasjon Ukjent - redigert2.png	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/a8ba78f2-30e8-4b3f-ab12-d185387835ff/Destinasjon+Ukjent+-+redigert2.png
005	4802350	TK-nattdikt_web.png	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/ba1dad94-9fec-4d86-90c3-e2f455978863/TK-nattdikt_web.png
006	179941	Triptyk.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576428849243-1XASDZ3C53KQREIWK5VQ/Triptyk.jpg
007	181110	Kriger og fugl.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576429038601-D9R7DPMXXJNEQIHHHKI6/Kriger+og+fugl.jpg
008	221684	Kronos eter sine barn.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576429038603-LNYMV3MGWC8RKJYAFZPM/Kronos+eter+sine+barn.jpg
009	4733606	Blått lemurisk - redigert_web.png	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/d627aaec-3d47-4409-bb06-5bad3d2c51d9/Bl%C3%A5tt+lemurisk+-+redigert_web.png
010	696778	DSCF6105 (2).JPG	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1610897873031-FPK0G2XU2MC5HZ6Z3PXW/DSCF6105+%282%29.JPG
011	125048	Gjennom leden.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1610894948914-FQPOJBBN04L7RL8MUPWL/Gjennom+leden.jpg
012	103910	IMG_0015 1988.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1610895990734-84GYQ1ATG58Y73PFKZAN/IMG_0015+1988.jpg
013	374814	Sareptas krukke.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1610895992481-7R0PO2HAM4SNLFJU489T/Sareptas+krukke.jpg
014	3858110	homage - redigert_web.png	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/e086e3f7-cca2-4214-8c3a-9462639fc38f/homage+-+redigert_web.png
015	1562224	Puma.png	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1610896129174-OLZ8OZLCSXBJJ1TDR9IT/Puma.png
016	204726	Grand tour II 1986.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576421132070-HSZMLVLY8QBXO4137OVB/Grand+tour+II+1986.jpg
017	848524	DSCF6102 (3).JPG	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1611255576194-2FG4RTT7LCRWETHGZBXM/DSCF6102+%283%29.JPG
018	258118	20200409_155101.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1610965458837-FIKN53UZYGNXYEDD2YIB/20200409_155101.jpg
019	186028	Grand Tour V.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576421145685-4D4K91HRSW4XF5OQRWEY/Grand+Tour+V.jpg
020	253688	Grand Tour VI.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576421164800-XL0WX1B8YEK7G0EIYUAG/Grand+Tour+VI.jpg
021	3684060	Marslandskap - redigert_web.png	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/876e2058-a570-4538-aa1d-8d9a7172b17a/Marslandskap+-+redigert_web.png
022	739064	Atmosfæriske forstyrrelser 1981.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576421215730-4E1T6JVQ4I7PN5DQWU9A/Atmosf%C3%A6riske+forstyrrelser+1981.jpg
023	164168	Departure II.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576421876437-YI4XH0D3Y8U52P9JU7X7/Departure+II.jpg
024	128324	Landskap II.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576429867712-2YT9ZRDM7QALA46KNTKJ/Landskap+II.jpg
025	311424	Rød Titan.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576429889851-NYO1YEQHP2SFPMQK67R0/R%C3%B8d+Titan.jpg
