Navn;År;Teknikk;Pris;Størrelse (original);Størrelse (digital);Tilgjengelighet
Aquarius;2005;Håndkolorert litografi;kr 2 250,00;37×37 cm;;Original tilgjengelig
Mastodont 2;2011;Elementtrykk;På forespørsel;122×122 cm;;Kun digitaltrykk
Aries;2005;Håndkolorert litografi;kr 2 250,00;37×37 cm;;Original tilgjengelig
Astro Lady;;Serigrafi;kr 5 000,00;40×53 cm;;Original tilgjengelig
Atmosfæriske Forstyrrelser 1981;1981;Serigrafi;kr 3 500,00;50×41 cm;;Original tilgjengelig
Blått lemurisk landskap;;Linosnitt/elementtrykk;;96×57 cm;;Utsolgt
Bravo I og II;;Elementtrykk/dyptrykk;;;;Utsolgt
Budbringer;1986;Serigrafi;kr 5 000,00;68×40 cm;;Original tilgjengelig
Byråkratens drømmereise;;Serigrafi;;;;Utsolgt
Cancer;2005;Håndkolorert litografi;kr 2 250,00;37×37 cm;;Original tilgjengelig
Capricorn;2005;Håndkolorert litografi;kr 2 250,00;37×37 cm;;Original tilgjengelig
Carrara i;;Grafikk;;;;Kun digitaltrykk
Cinque Terre 1;;Akryl;;;;Kun digitaltrykk
Cinque Terre 2;;Akryl;;;;Kun digitaltrykk
Cinque Terre 3;;Akryl;;;;Kun digitaltrykk
Cinque Terre 4;;Akryl;;;;Kun digitaltrykk
Cinque Terre 5;;Akryl;;;;Kun digitaltrykk
Cinque Terre 6;;Akryl;;;;Kun digitaltrykk
Cinque Terre 7;;Akryl;;;;Kun digitaltrykk
Cinque Terre 8;;Akryl;;;;Kun digitaltrykk
Cinque Terre Iii;;Grafikk;;;;Kun digitaltrykk
Den Store Sjøreisen, Farge (etsing, Koldnål);;Koldnål/etsning (håndkolorert);kr 5 000,00;44×33 cm;;Original tilgjengelig
Den Store Sjøreisen;;Koldnål/etsning (håndkolorert);kr 5 000,00;44×33 cm;;Original tilgjengelig
Den Store Sjøreisen2;;Koldnål/etsning (håndkolorert);kr 5 000,00;44×33 cm;;Original tilgjengelig
Departure Ii;;Akryl på papir;;;;Utsolgt
Destinasjon Ukjent;;Linosnitt/elementtrykk;kr 25 000,00;147×94 cm;;Original tilgjengelig
Destinasjon Ukjent;;Linosnitt/elementtrykk;kr 25 000,00;147×94 cm;;Original tilgjengelig
Duellen;;Serigrafi;;;;Kun digitaltrykk
Dystopi;;Serigrafi;;;;Utsolgt
Espen B;;Etsning;;;;Kun digitaltrykk
Flygende Titan;;Serigrafi;;;;Utsolgt
Gemini;2005;Håndkolorert litografi;kr 2 250,00;37×37 cm;;Original tilgjengelig
